prodnombre,kg_por_bolsa,bolsas_cerradas,kg_abiertos
GRAN CAMPEON ADULTO CARNE 21 KG,"21,00",1,
GRAN CAMPEON CACHORRO 10 KG,"10,00",1,
GRAN CAMPEON GATO 10 KG,"10,00",1,
GRAN CAMPEON TRADICIONAL 21KG,"21,00",1,
GRUÑON X 15 KG (GOMENSORO),"15,00",1,
GRUÑON X 20+2KG (GOMENSORO),"22,00",1,
HOP! GATO ADULTO x 15 kg (VITAL CAN),"15,00",1,
"HOP! GATO KITTEN x7,5kg (VITAL CAN)","7,50",1,
"HOP! PERRO CACHORRO RAZA MED Y GRANDE x7,5kg","7,50",1,
IAMS kitten x 1kg,"1,00",1,
IAMS PERRO ADULTO RAZA MEDIANA / GRANDE x15kg (D. MAIPÚ),"15,00",1,
INFINITY ADULTO 21 KG,"21,00",1,
INFINITY CACHORRO 10 KG,"10,00",1,
INFINITY GATO 10 KG,"10,00",1,
INFINITY GATO KITTEN 1 KG,"1,00",1,
INFINITY GATO KITTEN 10 KG,"10,00",1,
INFINITY RAZA PEQUEÑA 8 KG,"8,00",1,
INFINTY RAZA PEQUEÑA 15 KG,"15,00",1,
"IRON CAT x7,5kg (ENCO)","7,50",1,
IRON PET ADULTO M Y L x15kg (ENCO),"15,00",1,
IRON PET ADULTO M Y L x20kg (ENCO),"20,00",1,
"IRON PET ADULTO M Y L x7,5kg (ENCO)","7,50",1,
IRON PET ADULTO P x20kg (ENCO),"20,00",1,
"IRON PET ADULTO P x7,5kg (ENCO)","7,50",1,
IRON PET CACHORRO x15kg (ENCO),"15,00",1,
IRON PET PREMIUM ADULTO MyL x15kg (ENCO),"15,00",1,
IRON PET PREMIUM ADULTO MyL x20kg (ENCO),"20,00",1,
IRON PET PREMIUM ADULTO P x15kg (ENCO),"15,00",1,
IRON PET PREMIUM ADULTO P x20kg (ENCO),"20,00",1,
IRON PET PREMIUM ADULTO P x3kg (ENCO),"3,00",1,
"IRON PET PREMIUM ADULTO P x7,5kg (ENCO)","7,50",1,
JASPE GATO PREMIUM X8KG (DISTRIBUIDORA SEDA),"8,00",1,
JASPE GATO X10KG (DISTRIBUIDORA SEDA),"10,00",1,
KEIKO CACHORRO x15kg (SALADILLO),"15,00",1,
KEIKO GATO x10kg (SALADILLO),"10,00",1,
KEIKO PERRO ADUL RG x 15kg (SALADILLO),"15,00",1,
KEIKO PERRO ADUL RG x21kg (SALADILLO),"21,00",1,
KEIKO PERRO ADUL RP x15kg (SALADILLO),"15,00",1,
"KEN-L GATO ADULTO x1,5kg (GEPSA)","1,50",1,
"KEN-L KITTEN x1,5kg (GEPSA)","1,50",1,
KEN‐L PREM. CACHORROS R.P x3kg (GEPSA),"3,00",1,
KEN‐L PREM. CACHORROS R.P. X 7.5 KG (GEPSA),"7,50",1,
KEN‐L PREM. CACHORROS X 15+3 KG (GEPSA),"15,00",1,
KEN‐L PREM. CACHORROS X 22 KG (GEPSA),"22,00",1,
KEN‐L PREM. CACHORROS X 7.5 KG. (GEPSA),"7,50",1,
KEN‐L PREM. CACHORROS x3kg (GEPSA),"3,00",1,
KEN‐L PREM. DOG ADULTOS R.P X 7.5 KG (GEPSA),"7,50",1,
KEN‐L PREM. DOG ADULTOS R.P x3kg (GEPSA),"3,00",1,
KEN‐L PREM. DOG ADULTOS X 15+3 KG (GEPSA),"15,00",1,
KEN‐L PREM. DOG ADULTOS X 22+3 KG (GEPSA),"25,00",1,
KEN‐L PREM. DOG ADULTOS X 7.5 KG (GEPSA),"7,50",1,
KEN‐L PREM. DOG ADULTOS x3kg (GEPSA),"3,00",1,
KEN‐L PREM. DOG LIGHT X 15 KG (GEPSA),"15,00",1,
KEN‐L PREM. DOG LIGHT X 7.5 KG (GEPSA),"7,50",1,
KEN‐L PREM. DOG LIGHT x3kg (GEPSA),"3,00",1,
KEN‐L PREM. GATITOS X 7.5 KG (GEPSA),"7,50",1,
KEN‐L PREM. GATO ADULTO X 7.5 KG (GEPSA),"7,50",1,
KONGO GOLD ADULTO RP x15kg (GOMENSORO),"15,00",1,
KONGO GOLD ADULTO x21kg (GOMENSORO),"21,00",1,
KONGO GOLD CACHORRO x15kg (GOMENSORO),"15,00",1,
KONGO GOLD CACHORRO x21kg (GOMENSORO),"21,00",1,
KONGO GOURMET GATO ADULTO x8kg (GOMENSORO),"8,00",1,
KONGO KITTEN x8kg (GOMENSORO),"8,00",1,
KONGO TRADICIONAL CACHORRO x15kg (GOMENSORO),"15,00",1,
KONGO TRADICIONAL CACHORRO x21kg (GOMENSORO),"21,00",1,
KONGO TRADICIONAL RM Y RG x15kg (GOMENSORO),"15,00",1,
KONGO TRADICIONAL RM Y RG x21kg (GOMENSORO),"21,00",1,
KONGO TRADICIONAL RP x3kg (GOMENSORO),"3,00",1,
KROSTER X 20 + 1KG,"20,00",1,
LATAS AGILITY CATS 340 GRS,"0,34",1,
LATAS AGILITY CATS 90 GRS,"0,90",1,
LATAS AGILITY PERRO 340 GRS,"0,34",1,
LATAS AGILITY PERRO 90 GRS,"0,90",1,
LATAS SIEGER RECOVERY 340 GRS,"0,34",1,
LIVRA ADULTOS MEDIANOS Y GRANDES X15KG (DISTRIBUIDORA MAIPÚ),"15,00",1,
LIVRA ADULTOS MEDIANOS Y GRANDES X3KG (DISTRIBUIDORA MAIPÚ),"3,00",1,
LIVRA ADULTOS MINIS Y PEQUEÑOS X3KG (DISTRIBUIDORA MAIPÚ),"3,00",1,
